,count,mean,std,min,25%,50%,75%,max,iqr
episode,574.0,287.5,165.84380201462662,1.0,144.25,287.5,430.75,574.0,286.5
average_route_distance,574.0,16.179442508710803,2.3449120300399664,9.5,14.5,16.0,17.75,24.875,3.25
total_route_distance,574.0,129.43554006968643,18.75929624031973,76.0,116.0,128.0,142.0,199.0,26.0
max_route_distance,574.0,27.027874564459932,4.448964820076336,15.0,24.0,27.0,30.0,38.0,6.0
min_route_distance,574.0,7.378048780487805,2.1919109637503484,3.0,6.0,7.0,9.0,15.0,3.0
total_logistics_intensity,574.0,512.226480836237,90.40630178396614,282.0,446.25,509.0,573.0,829.0,126.75
space_utilization,574.0,0.1866666666666666,0.0,0.1866666666666666,0.1866666666666666,0.1866666666666666,0.1866666666666666,0.1866666666666666,0.0
factory_area,574.0,600.0,0.0,600.0,600.0,600.0,600.0,600.0,0.0
occupied_area,574.0,112.0,0.0,112.0,112.0,112.0,112.0,112.0,0.0
free_area,574.0,488.0,0.0,488.0,488.0,488.0,488.0,488.0,0.0
finished_goods,574.0,324.7073170731707,86.90142887652861,121.0,252.0,373.5,400.0,400.0,148.0
throughput_rate,574.0,0.01127455962059614,0.0030174107248794476,0.0042013888888888,0.00875,0.012968749999999949,0.0138888888888888,0.0138888888888888,0.005138888888888799
avg_station_utilization,574.0,0.054092934874661165,0.009850205038692389,0.0246831597222222,0.0470909288194444,0.0607638888888888,0.0607638888888888,0.0607638888888888,0.0136729600694444
distance_reward,574.0,-0.0010452961672473848,0.00599798420822547,-0.08125,0.0,0.0,0.0,0.0,0.0
logistics_reward,574.0,-3.157665505226481e-05,0.0007565228832112743,-0.018125,0.0,0.0,0.0,0.0,0.0
flow_clarity_reward,574.0,-0.6539974309525837,0.0743922483238761,-0.8487618956817516,-0.7063398251730284,-0.6505374836326411,-0.5993500913836289,-0.449267353325827,0.10698973378939947
throughput_reward,574.0,-0.3577003484320557,0.40130712357798154,-1.0,-0.74,-0.1325,0.0,0.0,0.74
utilization_reward,574.0,-0.058744071815718175,0.11320813322032447,-0.5063368055555556,-0.05818142361111105,0.0,0.0,0.0,0.05818142361111105
final_reward,574.0,-0.17607148501357037,0.12662675118666647,-0.4178774519063208,-0.2946620853282153,-0.1051632342565097,-0.06423292409544351,-0.0449267353325827,0.2304291612327718
placed_units,574.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0
total_units,574.0,7.0,0.0,7.0,7.0,7.0,7.0,7.0,0.0
early_termination,0.0,,,,,,,,
error,0.0,,,,,,,,
